[FUSE — BEST 30 metrics only],,,,,,,,,,
P0(LH),P1(RH),P2(NH),P3(LC),P4(RC),P5(NC),P6(Cen),P7(MS),P8(LCO),P9(RCO),mean
4.542,3.462,0.938,3.950,2.932,2.000,1.064,3.757,1.714,1.579,2.594
1.761,0.659,3.272,1.248,1.141,0.427,1.195,2.840,1.667,2.128,1.634
3.928,2.142,1.233,3.400,1.999,1.009,2.283,1.517,0.371,1.131,1.901
1.402,0.469,0.917,0.215,0.911,2.226,2.366,7.253,1.160,4.192,2.111
0.983,4.953,2.089,3.275,3.693,1.542,2.186,0.801,1.763,1.032,2.232
2.060,1.518,1.169,5.015,1.324,1.905,1.931,3.810,2.610,0.697,2.204
2.315,2.258,3.198,1.908,2.386,1.421,0.931,1.205,0.851,2.335,1.881
3.446,2.383,0.976,0.972,1.079,0.418,1.430,1.495,1.349,1.040,1.459
1.775,2.884,3.204,1.888,1.572,1.812,0.691,3.137,4.865,1.092,2.292
1.054,4.562,1.676,1.187,1.172,1.953,0.693,6.136,1.383,1.698,2.151
5.203,3.648,1.483,0.392,1.182,2.414,1.156,4.936,2.892,1.320,2.463
3.467,2.454,1.720,3.000,3.096,1.750,2.777,0.820,2.992,2.949,2.502
3.384,0.859,0.854,1.329,2.163,0.849,0.777,6.315,0.852,0.892,1.827
1.869,3.851,2.414,2.614,1.268,3.430,1.154,5.532,1.157,2.360,2.565
0.377,2.029,3.561,3.219,3.265,0.718,1.965,2.782,3.056,2.393,2.337
4.446,1.930,2.417,1.651,3.484,1.190,1.731,1.500,2.410,1.377,2.214
1.729,2.439,1.593,2.303,2.424,2.790,1.472,0.743,4.171,2.074,2.174
0.741,3.949,2.586,1.326,2.599,0.835,2.435,4.203,5.415,1.841,2.593
1.226,1.540,2.050,1.262,1.577,0.618,0.671,5.594,2.101,1.303,1.794
1.232,3.063,3.532,2.016,1.918,1.562,2.312,1.475,0.560,2.954,2.063
3.135,1.478,1.429,1.326,3.574,1.355,0.912,4.335,2.262,4.275,2.408
2.334,0.909,0.833,1.626,0.892,1.674,1.739,4.385,1.121,1.559,1.707
3.481,2.464,2.327,2.630,0.863,3.817,1.637,1.102,4.214,2.904,2.544
2.435,2.796,1.266,1.421,1.280,3.266,2.302,2.004,0.960,1.478,1.921
0.442,1.454,1.668,2.021,2.742,2.305,2.371,2.518,3.101,2.692,2.131
2.190,1.586,1.015,0.865,2.769,3.430,0.448,3.102,2.886,3.256,2.155
2.378,3.625,2.791,1.027,3.161,2.296,2.268,4.282,0.755,2.955,2.554
2.380,3.929,1.927,2.746,3.927,1.738,1.868,1.598,2.539,3.085,2.573
3.964,2.667,1.110,3.652,2.370,1.989,1.289,6.224,0.921,1.327,2.551
2.505,2.048,0.987,1.175,2.843,2.309,1.242,3.215,3.001,2.956,2.228
2.406,2.467,1.875,2.022,2.187,1.835,1.577,3.287,2.170,2.096,2.192
,,,,,,,,,,
[S1 — same 30 pid metrics only],,,,,,,,,,
P0(LH),P1(RH),P2(NH),P3(LC),P4(RC),P5(NC),P6(Cen),P7(MS),P8(LCO),P9(RCO),mean
4.822,4.041,1.298,3.705,4.139,1.628,1.483,3.669,1.153,1.212,2.715
0.975,0.831,3.151,1.226,1.129,1.186,1.132,2.858,0.984,2.444,1.592
3.771,2.302,0.510,3.228,1.768,1.749,2.375,1.278,0.561,1.381,1.892
1.219,0.456,0.997,0.655,0.482,1.766,2.242,9.109,1.254,2.314,2.049
0.912,5.021,2.019,3.386,3.476,1.822,1.886,0.870,1.839,0.996,2.223
1.482,1.713,2.067,5.381,1.739,2.223,1.868,2.648,1.909,1.349,2.238
2.773,1.732,3.236,2.694,1.980,1.530,0.697,1.612,0.815,1.484,1.855
2.328,2.777,1.138,1.608,1.460,1.280,1.603,2.263,1.160,1.221,1.684
1.928,2.365,3.393,1.522,1.243,0.825,0.762,4.064,3.222,1.078,2.040
1.369,5.264,2.234,1.316,1.722,1.924,0.973,6.060,0.612,2.500,2.397
5.604,4.670,2.058,0.460,1.686,2.068,1.232,3.398,1.836,1.082,2.409
3.769,3.157,0.826,3.224,2.744,1.582,2.692,0.723,3.366,2.985,2.507
3.025,1.572,0.798,1.181,2.382,0.754,0.886,8.165,1.002,0.996,2.076
2.699,4.324,2.251,2.504,0.712,3.086,0.997,6.093,0.490,2.015,2.517
