split_role,collection,domain,released_split,sample_id,case_id,case_id_source,image_path,mask_path,mask_encoding
released_train,animal_train,animal,train,ani_00000,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00000.png,datasets/segmentation/animal_train/masks/ani_00000.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00001,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00001.png,datasets/segmentation/animal_train/masks/ani_00001.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00002,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00002.png,datasets/segmentation/animal_train/masks/ani_00002.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00003,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00003.png,datasets/segmentation/animal_train/masks/ani_00003.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00005,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00005.png,datasets/segmentation/animal_train/masks/ani_00005.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00006,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00006.png,datasets/segmentation/animal_train/masks/ani_00006.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00008,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00008.png,datasets/segmentation/animal_train/masks/ani_00008.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00009,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00009.png,datasets/segmentation/animal_train/masks/ani_00009.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00010,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00010.png,datasets/segmentation/animal_train/masks/ani_00010.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00011,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00011.png,datasets/segmentation/animal_train/masks/ani_00011.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00012,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00012.png,datasets/segmentation/animal_train/masks/ani_00012.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00013,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00013.png,datasets/segmentation/animal_train/masks/ani_00013.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00014,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00014.png,datasets/segmentation/animal_train/masks/ani_00014.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00016,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00016.png,datasets/segmentation/animal_train/masks/ani_00016.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00017,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00017.png,datasets/segmentation/animal_train/masks/ani_00017.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00018,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00018.png,datasets/segmentation/animal_train/masks/ani_00018.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00020,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00020.png,datasets/segmentation/animal_train/masks/ani_00020.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00021,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00021.png,datasets/segmentation/animal_train/masks/ani_00021.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00022,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00022.png,datasets/segmentation/animal_train/masks/ani_00022.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00023,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00023.png,datasets/segmentation/animal_train/masks/ani_00023.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00024,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00024.png,datasets/segmentation/animal_train/masks/ani_00024.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00025,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00025.png,datasets/segmentation/animal_train/masks/ani_00025.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00026,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00026.png,datasets/segmentation/animal_train/masks/ani_00026.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00027,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00027.png,datasets/segmentation/animal_train/masks/ani_00027.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00028,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00028.png,datasets/segmentation/animal_train/masks/ani_00028.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00029,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00029.png,datasets/segmentation/animal_train/masks/ani_00029.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00030,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00030.png,datasets/segmentation/animal_train/masks/ani_00030.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00031,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00031.png,datasets/segmentation/animal_train/masks/ani_00031.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00032,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00032.png,datasets/segmentation/animal_train/masks/ani_00032.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00033,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00033.png,datasets/segmentation/animal_train/masks/ani_00033.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00034,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00034.png,datasets/segmentation/animal_train/masks/ani_00034.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00035,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00035.png,datasets/segmentation/animal_train/masks/ani_00035.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00036,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00036.png,datasets/segmentation/animal_train/masks/ani_00036.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00037,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00037.png,datasets/segmentation/animal_train/masks/ani_00037.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00039,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00039.png,datasets/segmentation/animal_train/masks/ani_00039.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00040,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00040.png,datasets/segmentation/animal_train/masks/ani_00040.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00041,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00041.png,datasets/segmentation/animal_train/masks/ani_00041.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00043,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00043.png,datasets/segmentation/animal_train/masks/ani_00043.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00045,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00045.png,datasets/segmentation/animal_train/masks/ani_00045.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00046,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00046.png,datasets/segmentation/animal_train/masks/ani_00046.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00047,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00047.png,datasets/segmentation/animal_train/masks/ani_00047.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00048,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00048.png,datasets/segmentation/animal_train/masks/ani_00048.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00049,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00049.png,datasets/segmentation/animal_train/masks/ani_00049.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00050,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00050.png,datasets/segmentation/animal_train/masks/ani_00050.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00051,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00051.png,datasets/segmentation/animal_train/masks/ani_00051.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00052,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00052.png,datasets/segmentation/animal_train/masks/ani_00052.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00053,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00053.png,datasets/segmentation/animal_train/masks/ani_00053.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00054,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00054.png,datasets/segmentation/animal_train/masks/ani_00054.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00056,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00056.png,datasets/segmentation/animal_train/masks/ani_00056.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00057,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00057.png,datasets/segmentation/animal_train/masks/ani_00057.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00058,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00058.png,datasets/segmentation/animal_train/masks/ani_00058.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00059,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00059.png,datasets/segmentation/animal_train/masks/ani_00059.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00060,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00060.png,datasets/segmentation/animal_train/masks/ani_00060.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00061,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00061.png,datasets/segmentation/animal_train/masks/ani_00061.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00062,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00062.png,datasets/segmentation/animal_train/masks/ani_00062.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00063,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00063.png,datasets/segmentation/animal_train/masks/ani_00063.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00064,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00064.png,datasets/segmentation/animal_train/masks/ani_00064.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00067,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00067.png,datasets/segmentation/animal_train/masks/ani_00067.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00068,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00068.png,datasets/segmentation/animal_train/masks/ani_00068.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00069,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00069.png,datasets/segmentation/animal_train/masks/ani_00069.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00072,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00072.png,datasets/segmentation/animal_train/masks/ani_00072.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00073,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00073.png,datasets/segmentation/animal_train/masks/ani_00073.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00075,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00075.png,datasets/segmentation/animal_train/masks/ani_00075.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00076,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00076.png,datasets/segmentation/animal_train/masks/ani_00076.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00077,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00077.png,datasets/segmentation/animal_train/masks/ani_00077.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00078,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00078.png,datasets/segmentation/animal_train/masks/ani_00078.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00079,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00079.png,datasets/segmentation/animal_train/masks/ani_00079.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00081,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00081.png,datasets/segmentation/animal_train/masks/ani_00081.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00082,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00082.png,datasets/segmentation/animal_train/masks/ani_00082.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00083,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00083.png,datasets/segmentation/animal_train/masks/ani_00083.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00084,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00084.png,datasets/segmentation/animal_train/masks/ani_00084.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00085,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00085.png,datasets/segmentation/animal_train/masks/ani_00085.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00086,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00086.png,datasets/segmentation/animal_train/masks/ani_00086.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00087,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00087.png,datasets/segmentation/animal_train/masks/ani_00087.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00089,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00089.png,datasets/segmentation/animal_train/masks/ani_00089.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00090,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00090.png,datasets/segmentation/animal_train/masks/ani_00090.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00091,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00091.png,datasets/segmentation/animal_train/masks/ani_00091.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00092,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00092.png,datasets/segmentation/animal_train/masks/ani_00092.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00093,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00093.png,datasets/segmentation/animal_train/masks/ani_00093.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00094,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00094.png,datasets/segmentation/animal_train/masks/ani_00094.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00095,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00095.png,datasets/segmentation/animal_train/masks/ani_00095.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00096,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00096.png,datasets/segmentation/animal_train/masks/ani_00096.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00097,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00097.png,datasets/segmentation/animal_train/masks/ani_00097.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00098,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00098.png,datasets/segmentation/animal_train/masks/ani_00098.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00099,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00099.png,datasets/segmentation/animal_train/masks/ani_00099.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00101,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00101.png,datasets/segmentation/animal_train/masks/ani_00101.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00102,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00102.png,datasets/segmentation/animal_train/masks/ani_00102.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00103,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00103.png,datasets/segmentation/animal_train/masks/ani_00103.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00105,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00105.png,datasets/segmentation/animal_train/masks/ani_00105.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00106,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00106.png,datasets/segmentation/animal_train/masks/ani_00106.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00107,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00107.png,datasets/segmentation/animal_train/masks/ani_00107.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00108,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00108.png,datasets/segmentation/animal_train/masks/ani_00108.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00111,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00111.png,datasets/segmentation/animal_train/masks/ani_00111.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00112,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00112.png,datasets/segmentation/animal_train/masks/ani_00112.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00113,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00113.png,datasets/segmentation/animal_train/masks/ani_00113.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00114,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00114.png,datasets/segmentation/animal_train/masks/ani_00114.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00115,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00115.png,datasets/segmentation/animal_train/masks/ani_00115.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00118,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00118.png,datasets/segmentation/animal_train/masks/ani_00118.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00119,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00119.png,datasets/segmentation/animal_train/masks/ani_00119.npy,npy_multiclass
released_train,animal_train,animal,train,ani_00120,,unavailable_from_filename,datasets/segmentation/animal_train/images/ani_00120.png,datasets/segmentation/animal_train/masks/ani_00120.npy,npy_multiclass
