case_id,vtype,dice_vs_clean,dice_vs_gt,seg_voxels,gt_voxels
21,clean,1.0,0.4042331196908567,1495,5214
21,corrupted,0.4916518650106868,0.32139577594226904,1320,5214
21,unet,0.5750822067973143,0.32280049566399815,1242,5214
21,diff_mean,0.5829562594284202,0.3161199183812335,1157,5214
21,diff_sample,0.5404157043897597,0.2998258667099892,1103,5214
32,clean,1.0,0.5206099594954483,2707,5687
32,corrupted,0.6987649901562578,0.5437142523642537,2880,5687
32,unet,0.7794331395352845,0.5108439415375874,2797,5687
32,diff_mean,0.7808115282522169,0.5149018657626424,2567,5687
32,diff_sample,0.7099829513170866,0.49594381886487954,2572,5687
41,clean,1.0,0.32825354012228153,1402,6013
41,corrupted,0.4703590314515158,0.4283276450518913,2191,6013
41,unet,0.546391752578695,0.4137059046663122,1896,6013
41,diff_mean,0.5417170495781689,0.4071221113784479,1906,6013
41,diff_sample,0.5405405405419517,0.3981187237836556,1854,6013
50,clean,1.0,0.4149668074841098,1891,6394
50,corrupted,0.6073961499503359,0.41178558750513333,2057,6394
50,unet,0.7138228941692392,0.39941513342341967,1813,6394
50,diff_mean,0.6994535519133894,0.39715790763273656,1769,6394
50,diff_sample,0.665364219928369,0.38708879544968205,1692,6394
51,clean,1.0,0.5086544535697932,2141,5774
51,corrupted,0.5974148061114044,0.42748478701898135,2114,5774
51,unet,0.6640567653543821,0.4409326424877708,1946,5774
51,diff_mean,0.6636815920406376,0.4280674245401436,1879,5774
51,diff_sample,0.6408700050590772,0.4159746935555345,1813,5774
