case,sharpness,coronary_vox
092,70.704345703125,29818
029,74.03622436523438,26047
084,74.47769927978516,25923
023,74.62327575683594,33411
157,75.4231185913086,37545
046,80.35533142089844,28385
097,83.80028533935547,44747
058,84.44049835205078,52681
002,86.80042266845703,35802
063,87.42635345458984,42151
007,87.59217071533203,20955
003,88.10359954833984,33457
027,88.40699768066406,23932
065,91.3223648071289,37582
004,93.72064208984375,32864
066,96.19515228271484,62348
071,97.6631088256836,26614
011,98.04181671142578,32069
001,98.99066925048828,30511
022,99.44738006591797,39981
159,100.28673553466797,28664
018,101.60588836669922,36996
026,101.94412231445312,27232
013,101.99067687988281,22847
010,102.95608520507812,30788
053,103.79652404785156,16924
025,105.1579818725586,27231
030,107.50991821289062,27449
154,108.86168670654297,50470
048,109.31991577148438,38716
158,109.56331634521484,43632
039,109.87044525146484,37236
156,110.99504852294922,27764
075,112.27452850341797,41036
091,113.15802001953125,29335
161,113.41035461425781,34663
057,114.82594299316406,42061
009,116.63028717041016,44027
005,117.5848388671875,30320
094,117.7723159790039,35553
080,118.36815643310547,29820
036,119.2286376953125,32556
151,119.71399688720703,57888
016,123.1080322265625,54691
040,123.60028076171875,39284
153,124.0829849243164,36796
021,124.31130981445312,21135
033,124.59111022949219,75631
042,125.39368438720703,38587
054,125.86734008789062,75820
099,126.52279663085938,40879
055,127.07936096191406,60836
041,127.69953918457031,42873
095,129.069091796875,39561
049,129.1553497314453,18163
015,130.12928771972656,33096
051,130.23309326171875,23517
045,130.34060668945312,45239
096,130.5120391845703,44639
155,132.0894775390625,69519
052,133.89781188964844,31218
034,134.415283203125,54913
014,136.41139221191406,40301
081,136.51547241210938,45091
028,137.29884338378906,25864
064,137.8250732421875,27952
020,138.17076110839844,27656
035,139.80709838867188,65428
050,142.48728942871094,40433
068,144.49488830566406,57539
098,144.5214080810547,28316
100,145.87881469726562,39188
060,147.46852111816406,50689
082,148.56263732910156,29682
032,152.616455078125,38413
079,152.98593139648438,42052
076,155.55943298339844,27857
078,156.5602264404297,38035
059,159.73277282714844,34998
047,160.26556396484375,26736
043,160.6337432861328,21467
085,165.95993041992188,36810
056,167.79916381835938,30103
017,170.21395874023438,50731
038,173.36099243164062,65510
090,173.59085083007812,32778
037,174.01910400390625,22330
024,177.11009216308594,29062
070,178.6215057373047,87941
044,180.02699279785156,70584
089,181.44607543945312,43604
019,181.85755920410156,70896
074,196.7292938232422,26025
083,197.7909393310547,107637
062,198.4293212890625,28632
073,198.56419372558594,46371
093,199.97866821289062,57790
087,200.26402282714844,54658
069,201.87513732910156,36682
006,208.33348083496094,29139
088,222.0574188232422,47862
008,227.2634735107422,20924
077,230.53713989257812,56581
160,231.84739685058594,112952
152,232.55921936035156,27288
061,234.86260986328125,28156
086,234.86260986328125,28156
012,236.7639617919922,59002
067,243.5604705810547,48473
031,245.44845581054688,57868
072,263.6614685058594,64417
