comparison,landmark_id,landmark_name,n,mean,std,median,q1,q3,min,max,sdr_2_0,sdr_2_5,sdr_3_0,sdr_4_0,outliers_gt_10mm
Reader1_vs_Reader2,0,P0_LH,30,1.6349268677457902,1.3294110918015158,1.0478430888336354,0.6054836863231992,2.4569500068878547,0.30334057670333603,4.118725392910758,63.333333,76.666667,80.0,86.666667,0
Reader1_vs_Reader2,1,P1_RH,30,1.5341731081305876,0.8939446037680651,1.3172219651289967,0.877896420080441,1.8981043834008142,0.3085913537953998,3.732191444855026,76.666667,86.666667,93.333333,100.0,0
Reader1_vs_Reader2,2,P2_NH,30,1.5387700334468093,0.9642766020155674,1.5455569711720856,0.9502155644104977,1.9187158289032946,0.2334155980322911,4.1893289713955495,76.666667,93.333333,93.333333,93.333333,0
Reader1_vs_Reader2,3,P3_LC,30,1.4954442280838605,1.1334675012488709,1.2241707048976318,0.8913023468954069,1.8350358759494256,0.24552312854766628,4.970034414533179,76.666667,93.333333,93.333333,93.333333,0
Reader1_vs_Reader2,4,P4_RC,30,1.6520608332423712,0.8305522265360976,1.6678799288027322,0.891161857602811,2.2518279548101163,0.48428913727339623,2.9086553234633548,63.333333,80.0,100.0,100.0,0
Reader1_vs_Reader2,5,P5_NC,30,1.2232679742594663,0.6825447383219478,1.1758821123000138,0.7017911610909526,1.7753597142818047,0.15878646707447552,2.512763018317452,86.666667,93.333333,100.0,100.0,0
Reader1_vs_Reader2,6,P6_Center,30,1.183135218068097,0.4817006253850711,1.082702025582972,0.8843632924553372,1.3530468984826873,0.39250440082722415,2.1487625785769215,93.333333,100.0,100.0,100.0,0
Reader1_vs_Reader2,7,P7_MS,30,4.692681275712205,3.355817508058072,4.74810723476656,1.9309767639855047,5.907235776842856,1.0793671932464317,13.683116280578732,26.666667,30.0,36.666667,43.333333,2
Reader1_vs_Reader2,Mean,P0-P7,240,1.8693074423361484,1.7981267730116086,1.2799678972453599,0.8843632924553372,2.23057526531007,0.15878646707447552,13.683116280578732,70.416667,81.666667,87.083333,89.583333,2
TRUST_vs_Reader1,0,P0_LH,30,2.1872169075316976,1.1985125219609596,2.356265164802944,1.2307533128896782,2.6622309056035993,0.37741262993676344,4.446079090712033,36.666667,70.0,76.666667,93.333333,0
TRUST_vs_Reader1,1,P1_RH,30,2.369134418903715,0.9219373129198518,2.2437301523540354,1.5741831770384778,2.8630275498688658,0.9088715760565348,3.9491379068226315,36.666667,63.333333,76.666667,100.0,0
TRUST_vs_Reader1,2,P2_NH,30,1.9432364358600105,0.8672789087473028,1.7976964095486836,1.2267485807265504,2.4588915310219455,0.8327033523543705,3.5613455982325655,56.666667,76.666667,86.666667,100.0,0
TRUST_vs_Reader1,3,P3_LC,30,1.8915202437179182,0.8180332079307888,1.6383364720353617,1.3098015982259223,2.3845031039913738,0.8651887114359403,3.6517783960664194,56.666667,76.666667,86.666667,100.0,0
TRUST_vs_Reader1,4,P4_RC,30,2.480545242637543,0.9450740990721318,2.670502692650542,1.8326227895584144,3.1873957407607945,0.8631672585023658,3.927068524880802,30.0,43.333333,70.0,100.0,0
TRUST_vs_Reader1,5,P5_NC,30,1.9932898265067336,0.9729195256196317,1.8635485937777738,1.3137073715974197,2.429254569313757,0.6175626692985047,3.8169580253597646,56.666667,76.666667,80.0,100.0,0
TRUST_vs_Reader1,6,P6_Center,30,1.6662994033761225,0.6226452752961235,1.7351304248255937,1.2775414793607869,2.276538679902697,0.4480633440985896,2.4348951100429406,70.0,100.0,100.0,100.0,0
TRUST_vs_Reader1,7,P7_MS,30,3.0663590679591963,1.6412685478991196,2.9418393575139725,1.5732193990743233,4.295186230362003,0.7426813117396381,6.223701147118154,30.0,36.666667,50.0,63.333333,0
TRUST_vs_Reader1,Mean,P0-P7,240,2.1997001933116174,1.0903346649041405,2.038739048155425,1.4042445890866961,2.783744255588477,0.37741262993676344,6.223701147118154,46.666667,67.916667,78.333333,94.583333,0
TRUST_vs_Reader2,0,P0_LH,30,2.5776207559510698,0.9965040813019275,2.349818393196612,2.023715407708613,3.085700591801051,0.8272028659950097,4.678233359940762,26.666667,56.666667,76.666667,93.333333,0
TRUST_vs_Reader2,1,P1_RH,30,2.323975455158572,0.8912861461635395,2.2300047341743476,1.624509102693567,2.780442330592611,1.1401455854218245,4.183131624134418,36.666667,56.666667,76.666667,93.333333,0
TRUST_vs_Reader2,2,P2_NH,30,1.746729270508044,0.7177870166380329,1.6088261904315795,1.2198156797525117,2.123070079299105,0.6984727357283612,3.282426209639847,70.0,86.666667,93.333333,100.0,0
TRUST_vs_Reader2,3,P3_LC,30,2.0798075268331906,1.0018056911391502,2.01678589042839,1.127891097246535,2.6011501857548995,0.47268017610357477,3.7600073616480523,50.0,70.0,80.0,100.0,0
TRUST_vs_Reader2,4,P4_RC,30,2.169637215867567,1.1003204304801253,2.003460696932162,1.3094741305400237,3.0598578202077777,0.4768382182204566,4.061737603289679,50.0,63.333333,76.666667,93.333333,0
TRUST_vs_Reader2,5,P5_NC,30,2.0791843302087143,1.2197872697593322,2.32809250468494,0.8541230033032893,2.9673014822092023,0.2261160503755503,4.261438882322735,36.666667,56.666667,80.0,93.333333,0
TRUST_vs_Reader2,6,P6_Center,30,1.5774234856021527,0.8255024746887503,1.354112200040001,0.901090862923968,2.1631953941717765,0.5213009497652635,3.0399285076588214,70.0,80.0,93.333333,100.0,0
TRUST_vs_Reader2,7,P7_MS,30,5.200908610998584,2.8913037581856678,4.844028077021996,3.124951468934706,5.578911085450597,1.5892863276220361,12.5341839134077,6.666667,6.666667,26.666667,36.666667,4
TRUST_vs_Reader2,Mean,P0-P7,240,2.4694108313909866,1.713727239122592,2.2055304905153092,1.3397485667925793,3.003199314491607,0.2261160503755503,12.5341839134077,43.333333,59.583333,75.416667,88.75,4
