P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,mean
4.542,3.462,0.938,3.950,2.932,2.000,1.064,3.757,1.714,1.579,2.594
1.761,0.659,3.272,1.248,1.141,0.427,1.195,2.840,1.667,2.128,1.634
3.928,2.142,1.233,3.400,1.999,1.009,2.283,1.517,0.371,1.131,1.901
1.402,0.469,0.917,0.215,0.911,2.226,2.366,7.253,1.160,4.192,2.111
0.983,4.953,2.089,3.275,3.693,1.542,2.186,0.801,1.763,1.032,2.232
2.060,1.518,1.169,5.015,1.324,1.905,1.931,3.810,2.610,0.697,2.204
2.315,2.258,3.198,1.908,2.386,1.421,0.931,1.205,0.851,2.335,1.881
3.446,2.383,0.976,0.972,1.079,0.418,1.430,1.495,1.349,1.040,1.459
1.775,2.884,3.204,1.888,1.572,1.812,0.691,3.137,4.865,1.092,2.292
1.054,4.562,1.676,1.187,1.172,1.953,0.693,6.136,1.383,1.698,2.151
5.203,3.648,1.483,0.392,1.182,2.414,1.156,4.936,2.892,1.320,2.463
3.467,2.454,1.720,3.000,3.096,1.750,2.777,0.820,2.992,2.949,2.502
3.384,0.859,0.854,1.329,2.163,0.849,0.777,6.315,0.852,0.892,1.827
1.869,3.851,2.414,2.614,1.268,3.430,1.154,5.532,1.157,2.360,2.565
0.377,2.029,3.561,3.219,3.265,0.718,1.965,2.782,3.056,2.393,2.337
4.446,1.930,2.417,1.651,3.484,1.190,1.731,1.500,2.410,1.377,2.214
1.729,2.439,1.593,2.303,2.424,2.790,1.472,0.743,4.171,2.074,2.174
0.741,3.949,2.586,1.326,2.599,0.835,2.435,4.203,5.415,1.841,2.593
1.226,1.540,2.050,1.262,1.577,0.618,0.671,5.594,2.101,1.303,1.794
1.232,3.063,3.532,2.016,1.918,1.562,2.312,1.475,0.560,2.954,2.063
3.135,1.478,1.429,1.326,3.574,1.355,0.912,4.335,2.262,4.275,2.408
2.334,0.909,0.833,1.626,0.892,1.674,1.739,4.385,1.121,1.559,1.707
3.481,2.464,2.327,2.630,0.863,3.817,1.637,1.102,4.214,2.904,2.544
2.435,2.796,1.266,1.421,1.280,3.266,2.302,2.004,0.960,1.478,1.921
0.442,1.454,1.668,2.021,2.742,2.305,2.371,2.518,3.101,2.692,2.131
2.190,1.586,1.015,0.865,2.769,3.430,0.448,3.102,2.886,3.256,2.155
2.378,3.625,2.791,1.027,3.161,2.296,2.268,4.282,0.755,2.955,2.554
2.380,3.929,1.927,2.746,3.927,1.738,1.868,1.598,2.539,3.085,2.573
3.964,2.667,1.110,3.652,2.370,1.989,1.289,6.224,0.921,1.327,2.551
2.505,2.048,0.987,1.175,2.843,2.309,1.242,3.215,3.001,2.956,2.228
2.406,2.467,1.875,2.022,2.187,1.835,1.577,3.287,2.170,2.096,2.192
